A,B,CW,DQ,DR,DR51,DR52,DR53,TOTfreq
A2,B15,CW2,DQ7,DR4,NA,NA,DR53,2.00664e-5
A2,B15,CW3,DQ9,DR7,NA,NA,DR53,6.01993e-5
A2,B15,CW4,DQ2,DR7,NA,NA,DR53,6.01993e-5
A2,B15,CW4,DQ4,DR8,NA,NA,DR53,4.11362e-4
A2,B15,CW4,DQ5,DR1,NA,NA,NA,4.11362e-4
A2,B15,CW4,DQ5,DR103,NA,NA,NA,6.01993e-5
A2,B15,CW4,DQ6,DR13,NA,DR52,NA,7.02325e-5
A2,B15,CW4,DQ6,DR15,DR51,NA,NA,1.40465e-4
A2,B15,CW4,DQ7,DR4,NA,NA,DR53,2.30764e-4
A2,B15,CW4,DQ8,DR4,NA,NA,DR53,6.72225e-4
A2,B15,CW4,DQ9,DR7,NA,NA,DR53,4.01328e-5
A2,B15,CW5,DQ5,DR14,NA,DR52,NA,6.01993e-5
A2,B15,CW7,DQ5,DR1,NA,NA,NA,1.30432e-4
A2,B15,CW7,DQ6,DR13,NA,DR52,NA,7.02325e-5
A2,B15,CW7,DQ6,DR15,DR51,NA,NA,6.01993e-5
A2,B15,CW7,DQ7,DR4,NA,NA,DR53,4.01328e-5
A2,B15,CW9,DQ2,DR17,NA,DR52,NA,5.0166e-5
A2,B15,CW9,DQ4,DR8,NA,NA,DR53,1.90631e-4
A2,B15,CW9,DQ5,DR1,NA,NA,NA,0.001424716
A2,B15,CW9,DQ5,DR13,NA,DR52,NA,2.00664e-5
A2,B15,CW9,DQ5,DR14,NA,DR52,NA,9.02989e-5
A2,B15,CW9,DQ5,DR16,DR51,NA,NA,6.01993e-5
A2,B15,CW9,DQ6,DR11,NA,DR52,NA,2.00664e-5
A2,B15,CW9,DQ6,DR13,NA,DR52,NA,0.006160391
A2,B15,CW9,DQ6,DR15,DR51,NA,NA,0.001785911
A2,B15,CW9,DQ7,DR11,NA,DR52,NA,0.001545114
A2,B15,CW9,DQ7,DR12,NA,DR52,NA,2.60864e-4
A2,B15,CW9,DQ7,DR4,NA,NA,DR53,8.52823e-4
A2,B15,CW9,DQ8,DR4,NA,NA,DR53,0.003391225
A2,B15,CW9,DQ9,DR7,NA,NA,DR53,4.61528e-4
A2,B15,CW9,DQ9,DR9,NA,NA,DR53,2.00664e-4
A2,B18,CW10,DQ7,DR11,NA,DR52,NA,6.01993e-5
A2,B18,CW12,DQ2,DR17,NA,DR52,NA,1.30432e-4
A2,B18,CW12,DQ2,DR7,NA,NA,DR53,1.90631e-4
A2,B18,CW12,DQ6,DR13,NA,DR52,NA,9.02989e-5
A2,B18,CW12,DQ6,DR15,DR51,NA,NA,3.41129e-4
A2,B18,CW12,DQ7,DR11,NA,DR52,NA,5.11694e-4
A2,B18,CW12,DQ8,DR4,NA,NA,DR53,2.00664e-4
A2,B18,CW5,DQ2,DR17,NA,DR52,NA,0.002277539
A2,B18,CW5,DQ2,DR7,NA,NA,DR53,5.0166e-5
A2,B18,CW5,DQ4,DR8,NA,NA,DR53,1.30432e-4
A2,B18,CW5,DQ5,DR14,NA,DR52,NA,9.02989e-5
A2,B18,CW5,DQ6,DR15,DR51,NA,NA,8.02657e-5
A2,B18,CW5,DQ7,DR4,NA,NA,DR53,2.00664e-5
A2,B18,CW5,DQ9,DR7,NA,NA,DR53,6.01993e-5
A2,B18,CW7,DQ2,DR17,NA,DR52,NA,7.02325e-5
A2,B18,CW7,DQ2,DR7,NA,NA,DR53,2.40797e-4
A2,B18,CW7,DQ4,DR8,NA,NA,DR53,4.61528e-4
A2,B18,CW7,DQ5,DR1,NA,NA,NA,2.10697e-4
A2,B18,CW7,DQ5,DR14,NA,DR52,NA,2.10697e-4
A2,B18,CW7,DQ5,DR16,DR51,NA,NA,7.02325e-5
A2,B18,CW7,DQ6,DR13,NA,DR52,NA,4.41461e-4
A2,B18,CW7,DQ6,DR15,DR51,NA,NA,5.41793e-4
A2,B18,CW7,DQ7,DR11,NA,DR52,NA,0.005357734
A2,B18,CW7,DQ8,DR4,NA,NA,DR53,7.72557e-4
A2,B18,CW7,DQ9,DR9,NA,NA,DR53,2.5083e-4
A2,B27,CW1,DQ2,DR17,NA,DR52,NA,2.20731e-4
A2,B27,CW1,DQ2,DR7,NA,NA,DR53,1.50498e-4
A2,B27,CW1,DQ4,DR8,NA,NA,DR53,4.21395e-4
A2,B27,CW1,DQ5,DR1,NA,NA,NA,0.003481524
A2,B27,CW1,DQ5,DR103,NA,NA,NA,2.5083e-4
A2,B27,CW1,DQ5,DR16,DR51,NA,NA,1.00332e-5
A2,B27,CW1,DQ6,DR13,NA,DR52,NA,2.5083e-4
A2,B27,CW1,DQ6,DR15,DR51,NA,NA,6.92292e-4
A2,B27,CW1,DQ7,DR103,NA,NA,NA,0.001073554
A2,B27,CW1,DQ7,DR11,NA,DR52,NA,2.30764e-4
A2,B27,CW1,DQ7,DR12,NA,DR52,NA,6.01993e-5
A2,B27,CW1,DQ7,DR13,NA,DR52,NA,6.01993e-5
A2,B27,CW1,DQ7,DR4,NA,NA,DR53,2.10697e-4
A2,B27,CW1,DQ8,DR4,NA,NA,DR53,1.50498e-4
A2,B27,CW15,DQ4,DR8,NA,NA,DR53,6.01993e-5
A2,B27,CW15,DQ7,DR11,NA,DR52,NA,6.01993e-5
A2,B27,CW2,DQ2,DR17,NA,DR52,NA,3.21063e-4
A2,B27,CW2,DQ4,DR8,NA,NA,DR53,3.81262e-4
A2,B27,CW2,DQ5,DR1,NA,NA,NA,0.001173886
A2,B27,CW2,DQ5,DR14,NA,DR52,NA,3.41129e-4
A2,B27,CW2,DQ5,DR16,DR51,NA,NA,7.32424e-4
A2,B27,CW2,DQ6,DR13,NA,DR52,NA,4.41461e-4
A2,B27,CW2,DQ6,DR15,DR51,NA,NA,9.23055e-4
A2,B27,CW2,DQ7,DR11,NA,DR52,NA,0.001314351
A2,B27,CW2,DQ7,DR12,NA,DR52,NA,1.30432e-4
A2,B27,CW2,DQ7,DR4,NA,NA,DR53,4.01328e-4
A2,B27,CW2,DQ7,DR7,NA,NA,DR53,6.01993e-5
A2,B27,CW2,DQ8,DR4,NA,NA,DR53,0.001454815
A2,B27,CW2,DQ9,DR7,NA,NA,DR53,3.00996e-4
A2,B27,CW2,DQ9,DR9,NA,NA,DR53,5.41793e-4
A2,B27,CW5,DQ2,DR17,NA,DR52,NA,2.00664e-5
A2,B27,CW5,DQ6,DR13,NA,DR52,NA,2.00664e-5
A2,B27,CW7,DQ5,DR1,NA,NA,NA,6.01993e-5
A2,B27,CW7,DQ7,DR11,NA,DR52,NA,6.01993e-5
A2,B27,CW7,DQ7,DR13,NA,DR52,NA,6.01993e-5
A2,B27,CW7,DQ9,DR7,NA,NA,DR53,6.01993e-5
A2,B27,CW9,DQ4,DR8,NA,NA,DR53,1.20399e-4
A2,B27,CW9,DQ6,DR15,DR51,NA,NA,1.30432e-4
A2,B27,CW9,DQ7,DR11,NA,DR52,NA,6.01993e-5
A2,B27,CW9,DQ8,DR4,NA,NA,DR53,4.41461e-4
A2,B27,CW9,DQ9,DR7,NA,NA,DR53,6.01993e-5
A2,B35,CW10,DQ5,DR1,NA,NA,NA,6.01993e-5
A2,B35,CW10,DQ5,DR14,NA,DR52,NA,6.01993e-5
A2,B35,CW10,DQ8,DR4,NA,NA,DR53,6.01993e-5
A2,B35,CW12,DQ4,DR4,NA,NA,DR53,2.00664e-5
A2,B35,CW12,DQ5,DR14,NA,DR52,NA,3.61196e-4
A2,B35,CW12,DQ6,DR13,NA,DR52,NA,1.30432e-4
A2,B35,CW12,DQ6,DR15,DR51,NA,NA,7.02325e-5
A2,B35,CW12,DQ7,DR4,NA,NA,DR53,2.00664e-5
A2,B35,CW16,DQ5,DR1,NA,NA,NA,6.01993e-5
A2,B35,CW16,DQ6,DR13,NA,DR52,NA,6.01993e-5
A2,B35,CW2,DQ5,DR14,NA,DR52,NA,6.01993e-5
A2,B35,CW4,DQ2,DR17,NA,DR52,NA,3.31096e-4
A2,B35,CW4,DQ2,DR7,NA,NA,DR53,3.71229e-4
A2,B35,CW4,DQ4,DR4,NA,NA,DR53,6.01993e-5
A2,B35,CW4,DQ4,DR8,NA,NA,DR53,2.8093e-4
A2,B35,CW4,DQ5,DR1,NA,NA,NA,0.003752421
A2,B35,CW4,DQ5,DR103,NA,NA,NA,1.10365e-4
A2,B35,CW4,DQ5,DR14,NA,DR52,NA,7.8259e-4
A2,B35,CW4,DQ5,DR16,DR51,NA,NA,1.30432e-4
A2,B35,CW4,DQ6,DR11,NA,DR52,NA,6.01993e-5
A2,B35,CW4,DQ6,DR13,NA,DR52,NA,0.001133753
A2,B35,CW4,DQ6,DR15,DR51,NA,NA,3.61196e-4
A2,B35,CW4,DQ7,DR11,NA,DR52,NA,0.001304317
A2,B35,CW4,DQ7,DR12,NA,DR52,NA,0.00159528
A2,B35,CW4,DQ7,DR13,NA,DR52,NA,6.01993e-5
A2,B35,CW4,DQ7,DR4,NA,NA,DR53,4.81594e-4
A2,B35,CW4,DQ8,DR11,NA,DR52,NA,6.01993e-5
A2,B35,CW4,DQ8,DR4,NA,NA,DR53,8.32756e-4
A2,B35,CW4,DQ9,DR7,NA,NA,DR53,2.20731e-4
A2,B35,CW6,DQ6,DR13,NA,DR52,NA,6.01993e-5
A2,B35,CW6,DQ7,DR11,NA,DR52,NA,2.5083e-4
A2,B35,CW9,DQ2,DR7,NA,NA,DR53,6.01993e-5
A2,B35,CW9,DQ4,DR8,NA,NA,DR53,2.30764e-4
A2,B35,CW9,DQ5,DR1,NA,NA,NA,6.01993e-5
A2,B35,CW9,DQ8,DR4,NA,NA,DR53,6.01993e-5
A2,B37,CW6,DQ4,DR4,NA,NA,DR53,6.01993e-5
A2,B37,CW6,DQ4,DR8,NA,NA,DR53,1.80598e-4
A2,B37,CW6,DQ5,DR1,NA,NA,NA,1.60531e-4
A2,B37,CW6,DQ5,DR10,NA,NA,NA,7.8259e-4
A2,B37,CW6,DQ6,DR13,NA,DR52,NA,2.5083e-4
A2,B37,CW6,DQ6,DR15,DR51,NA,NA,1.50498e-4
A2,B37,CW6,DQ7,DR11,NA,DR52,NA,1.20399e-4
A2,B37,CW6,DQ8,DR4,NA,NA,DR53,1.90631e-4
A2,B37,CW7,DQ7,DR11,NA,DR52,NA,6.01993e-5
A2,B38,CW1,DQ7,DR11,NA,DR52,NA,6.01993e-5
A2,B38,CW12,DQ2,DR7,NA,NA,DR53,1.30432e-4
A2,B38,CW12,DQ5,DR1,NA,NA,NA,6.01993e-5
A2,B38,CW12,DQ5,DR10,NA,NA,NA,1.30432e-4
